Country Name,Country Code,Series Name,Series Code,2017 [YR2017]
French Polynesia,PYF,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
French Polynesia,PYF,Population density (people per sq. km of land area),EN.POP.DNST,75.4393442622951
French Polynesia,PYF,Net migration,SM.POP.NETM,-5000
Gabon,GAB,Population growth (annual %),SP.POP.GROW,2.79587459437534
Gabon,GAB,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Gabon,GAB,Population density (people per sq. km of land area),EN.POP.DNST,8.01339698063414
Gabon,GAB,Net migration,SM.POP.NETM,16301
"Gambia, The",GMB,Population growth (annual %),SP.POP.GROW,2.96906958481079
"Gambia, The",GMB,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,8.30128785750296
"Gambia, The",GMB,Population density (people per sq. km of land area),EN.POP.DNST,218.764822134387
"Gambia, The",GMB,Net migration,SM.POP.NETM,-15436
Georgia,GEO,Population growth (annual %),SP.POP.GROW,0.0133860746662629
Georgia,GEO,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,9.12796296054006
Georgia,GEO,Population density (people per sq. km of land area),EN.POP.DNST,65.2227859617201
Georgia,GEO,Net migration,SM.POP.NETM,-50000
Germany,DEU,Population growth (annual %),SP.POP.GROW,0.373724559895838
Germany,DEU,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,6.56105878484349
Germany,DEU,Population density (people per sq. km of land area),EN.POP.DNST,236.588722557747
Germany,DEU,Net migration,SM.POP.NETM,2719112
Ghana,GHA,Population growth (annual %),SP.POP.GROW,2.22050488189039
Ghana,GHA,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,7.14648301275112
Ghana,GHA,Population density (people per sq. km of land area),EN.POP.DNST,127.983932495385
Ghana,GHA,Net migration,SM.POP.NETM,-50000
Gibraltar,GIB,Population growth (annual %),SP.POP.GROW,-0.0444701390350008
Gibraltar,GIB,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Gibraltar,GIB,Population density (people per sq. km of land area),EN.POP.DNST,3372.3
Gibraltar,GIB,Net migration,SM.POP.NETM,..
Greece,GRC,Population growth (annual %),SP.POP.GROW,-0.197783224759792
Greece,GRC,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,4.60696749784221
Greece,GRC,Population density (people per sq. km of land area),EN.POP.DNST,83.4342823894492
Greece,GRC,Net migration,SM.POP.NETM,-80000
Greenland,GRL,Population growth (annual %),SP.POP.GROW,-0.0249203440297217
Greenland,GRL,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Greenland,GRL,Population density (people per sq. km of land area),EN.POP.DNST,0.136854671701791
Greenland,GRL,Net migration,SM.POP.NETM,..
Grenada,GRD,Population growth (annual %),SP.POP.GROW,0.552600021547813
Grenada,GRD,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,6.34699120364703
Grenada,GRD,Population density (people per sq. km of land area),EN.POP.DNST,326.1
Grenada,GRD,Net migration,SM.POP.NETM,-1000
Guam,GUM,Population growth (annual %),SP.POP.GROW,0.814724473342243
Guam,GUM,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Guam,GUM,Population density (people per sq. km of land area),EN.POP.DNST,304.224074074074
Guam,GUM,Net migration,SM.POP.NETM,-2532
Guatemala,GTM,Population growth (annual %),SP.POP.GROW,1.62765379973835
Guatemala,GTM,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,5.39729068381948
Guatemala,GTM,Population density (people per sq. km of land area),EN.POP.DNST,150.125214632325
Guatemala,GTM,Net migration,SM.POP.NETM,-46073
Guinea,GIN,Population growth (annual %),SP.POP.GROW,2.764879904347
Guinea,GIN,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,2.41512855195779
Guinea,GIN,Population density (people per sq. km of land area),EN.POP.DNST,49.1108416083347
Guinea,GIN,Net migration,SM.POP.NETM,-20000
Guinea-Bissau,GNB,Population growth (annual %),SP.POP.GROW,2.53224925787499
Guinea-Bissau,GNB,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Guinea-Bissau,GNB,Population density (people per sq. km of land area),EN.POP.DNST,65.0123044096728
Guinea-Bissau,GNB,Net migration,SM.POP.NETM,-6996
Guyana,GUY,Population growth (annual %),SP.POP.GROW,0.498520023687447
Guyana,GUY,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Guyana,GUY,Population density (people per sq. km of land area),EN.POP.DNST,3.93811531623063
Guyana,GUY,Net migration,SM.POP.NETM,-30001
Haiti,HTI,Population growth (annual %),SP.POP.GROW,1.3050204632281
Haiti,HTI,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,10.3701419527089
Haiti,HTI,Population density (people per sq. km of land area),EN.POP.DNST,398.489368650218
Haiti,HTI,Net migration,SM.POP.NETM,-175000
Honduras,HND,Population growth (annual %),SP.POP.GROW,1.69227148219463
Honduras,HND,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,4.76351503479038
Honduras,HND,Population density (people per sq. km of land area),EN.POP.DNST,84.2704084368576
Honduras,HND,Net migration,SM.POP.NETM,-34000
"Hong Kong SAR, China",HKG,Population growth (annual %),SP.POP.GROW,0.748222904999017
"Hong Kong SAR, China",HKG,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,3.95990371867227
"Hong Kong SAR, China",HKG,Population density (people per sq. km of land area),EN.POP.DNST,7039.71428571429
"Hong Kong SAR, China",HKG,Net migration,SM.POP.NETM,146542
